float_rate,multiplier,train_events,valid_events,train_hit_rate,valid_hit_rate,train_avg_target_upside_pct,valid_avg_target_upside_pct,valid_balanced_score
80.0,0.1,1331,641,0.9812171299774606,0.9875195007800313,0.14631369824680115,0.19926544451286524,0.1794414177680404
85.0,0.1,1331,641,0.9812171299774606,0.9875195007800313,0.13770701011463632,0.18754394777681432,0.16974202602055802
90.0,0.1,1331,641,0.9812171299774606,0.9875195007800313,0.13005662066382323,0.1771248395669908,0.16103963253641812
95.0,0.1,1331,641,0.9819684447783621,0.9875195007800313,0.12321153536572733,0.16780247958978117,0.1531877381973423
100.0,0.1,1331,641,0.9819684447783621,0.9875195007800313,0.11705095859744098,0.15941235561029235,0.1460672551069644
70.0,0.1,1331,641,0.980465815176559,0.9859594383775351,0.1672156551392013,0.22773193658613136,0.2022878320605705
75.0,0.1,1331,641,0.980465815176559,0.9859594383775351,0.15606794479658817,0.21254980748038946,0.19001944816589028
55.0,0.1,1331,641,0.980465815176559,0.984399375975039,0.21281992472261999,0.28984064656416725,0.2505480306991304
60.0,0.1,1331,641,0.980465815176559,0.984399375975039,0.19508493099573493,0.2656872593504867,0.23193951754852413
65.0,0.1,1331,641,0.980465815176559,0.984399375975039,0.1800783978422165,0.24524977786198862,0.2159143540122383
50.0,0.1,1331,641,0.980465815176559,0.982839313572543,0.23410191719488196,0.3188247112205839,0.27199190469319867
100.0,0.2,1331,641,0.980465815176559,0.982839313572543,0.23410191719488196,0.3188247112205839,0.27199190469319867
95.0,0.2,1331,641,0.980465815176559,0.9812792511700468,0.24642307073145467,0.3356049591795621,0.28396685056815135
35.0,0.1,1331,641,0.9752066115702479,0.9797191887675507,0.3344313102784029,0.4554638731722627,0.36771277434916105
70.0,0.2,1331,641,0.9752066115702479,0.9797191887675507,0.3344313102784029,0.4554638731722627,0.36771277434916105
75.0,0.2,1331,641,0.9752066115702479,0.9797191887675507,0.3121358895931758,0.42509961496077886,0.3470574071297322
40.0,0.1,1331,641,0.9782118707738543,0.9797191887675507,0.29262739649360253,0.39853088902573025,0.3286196839020085
80.0,0.2,1331,641,0.9782118707738543,0.9797191887675507,0.29262739649360253,0.39853088902573025,0.3286196839020085
85.0,0.2,1331,641,0.9797145003756574,0.9797191887675507,0.27541402022927297,0.37508789555362804,0.3120578567174649
45.0,0.1,1331,641,0.980465815176559,0.9797191887675507,0.26011324132764635,0.35424967913398264,0.2970974521300723
90.0,0.2,1331,641,0.980465815176559,0.9797191887675507,0.26011324132764635,0.35424967913398264,0.2970974521300723
95.0,0.4,1331,641,0.9691960931630353,0.9781591263650546,0.4928461414629093,0.6712099183591246,0.5023315320659104
25.0,0.1,1331,641,0.9691960931630353,0.9781591263650546,0.4682038343897641,0.637649422441168,0.48248866312503286
50.0,0.2,1331,641,0.9691960931630353,0.9781591263650546,0.4682038343897641,0.637649422441168,0.48248866312503286
75.0,0.3,1331,641,0.9691960931630353,0.9781591263650546,0.4682038343897641,0.637649422441168,0.48248866312503286
100.0,0.4,1331,641,0.9691960931630353,0.9781591263650546,0.4682038343897641,0.637649422441168,0.48248866312503286
80.0,0.3,1331,641,0.9699474079639369,0.9781591263650546,0.43894109474040355,0.597796333538595,0.45839020048008244
55.0,0.2,1331,641,0.9706987227648385,0.9781591263650546,0.4256398494452398,0.5796812931283343,0.44723696123757556
85.0,0.3,1331,641,0.9722013523666416,0.9781591263650546,0.4131210303439092,0.5626318433304424,0.43662233573741593
30.0,0.1,1331,641,0.9722013523666416,0.9781591263650546,0.3901698619914699,0.5313745187009733,0.4168578789129887
60.0,0.2,1331,641,0.9722013523666416,0.9781591263650546,0.3901698619914699,0.5313745187009733,0.4168578789129887
90.0,0.3,1331,641,0.9722013523666416,0.9781591263650546,0.39016986199146986,0.5313745187009733,0.4168578789129887
95.0,0.3,1331,641,0.9737039819684448,0.9781591263650546,0.3696346060971818,0.5034074387693438,0.3988288874979032
65.0,0.2,1331,641,0.9744552967693464,0.9781591263650546,0.3601567956844339,0.4904995557239753,0.390394395806889
100.0,0.3,1331,641,0.9744552967693464,0.9781591263650546,0.35115287579232307,0.4782370668308761,0.38231369673277943
85.0,0.4,1331,641,0.9676934635612322,0.9765990639625585,0.5508280404585457,0.7501757911072571,0.5466183511385186
65.0,0.3,1331,641,0.9676934635612322,0.9765990639625585,0.5402351935266506,0.7357493335859637,0.5385350189715051
45.0,0.2,1331,641,0.9684447783621337,0.9765990639625585,0.5202264826552934,0.708499358267965,0.5230815148487737
90.0,0.4,1331,641,0.9684447783621337,0.9765990639625585,0.5202264826552934,0.708499358267965,0.5230815148487737
70.0,0.3,1331,641,0.9691960931630353,0.9765990639625585,0.5016469654176042,0.6831958097583943,0.5085095211730748
75.0,0.4,1331,641,0.9646882043576258,0.9750390015600624,0.6242717791863518,0.8501992299215575,0.5999349894124152
95.0,0.5,1331,641,0.9654395191585274,0.9750390015600624,0.6160576768286369,0.8390123979489051,0.5940217309663851
20.0,0.1,1331,641,0.9669421487603306,0.9750390015600624,0.5852547929872046,0.7970617780514598,0.5715220218872777
40.0,0.2,1331,641,0.9669421487603306,0.9750390015600624,0.5852547929872046,0.7970617780514598,0.5715220218872777
60.0,0.3,1331,641,0.9669421487603306,0.9750390015600624,0.5852547929872047,0.7970617780514598,0.5715220218872777
80.0,0.4,1331,641,0.9669421487603306,0.9750390015600624,0.5852547929872046,0.7970617780514598,0.5715220218872777
100.0,0.5,1331,641,0.9669421487603306,0.9750390015600624,0.5852547929872046,0.7970617780514598,0.5715220218872777
