symbol,name
7203,Toyota Motor
6758,Sony Group
9984,SoftBank Group
8306,Mitsubishi UFJ Financial
7974,Nintendo
6861,Keyence
8001,Itochu
8035,Tokyo Electron
9432,NTT
6501,Hitachi
6098,Recruit Holdings
4063,Shin-Etsu Chemical
4568,Daiichi Sankyo
6954,Fanuc
8766,Tokio Marine
9433,KDDI
2914,Japan Tobacco
6367,Daikin Industries
8058,Mitsubishi Corp
8411,Mizuho Financial
